P Frame: 10, 8, 0.054215, 8, 0.041662, 8, 0.066149, 10, 0.012284, 8, 0.040506, 8, 0.066283, 9, 0.014353, 6, 0.091496, 8, 0.018116, 8, 0.062574, 8, 0.071363, 5, 0.141410, 9, 0.014595, 8, 0.063568, 9, 0.012902, 5, 0.113805, 6, 0.090770, 8, 0.023949, 
P Frame: 11, 4, 0.039140, 4, 0.039140, 5, 0.033463, 4, 0.042725, 5, 0.033463, 3, 0.074395, 5, 0.033463, 4, 0.041530, 4, 0.043920, 3, 0.069913, 0, 0.234240, 5, 0.033463, 5, 0.033463, 4, 0.042725, 5, 0.033463, 5, 0.033463, 4, 0.034060, 2, 0.103974, 
P Frame: 12, 8, 0.044373, 8, 0.039500, 8, 0.070072, 8, 0.067365, 8, 0.076278, 8, 0.074168, 8, 0.076292, 8, 0.059340, 8, 0.060797, 8, 0.020854, 0, 0.001902, 8, 0.084122, 8, 0.056049, 8, 0.050648, 8, 0.052328, 8, 0.088801, 8, 0.072043, 0, 0.005068, 
P Frame: 13, 6, 0.027737, 6, 0.027737, 6, 0.026890, 5, 0.039170, 5, 0.034724, 2, 0.179970, 2, 0.174465, 5, 0.031971, 3, 0.109676, 3, 0.102266, 6, 0.027737, 6, 0.023714, 6, 0.023714, 6, 0.023714, 6, 0.024137, 6, 0.023714, 6, 0.023714, 4, 0.074952, 
I Frame: 14, 10, 0.075625, 9, 0.061872, 9, 0.055516, 9, 0.051087, 9, 0.050947, 9, 0.061127, 9, 0.058596, 10, 0.049216, 9, 0.060960, 10, 0.050352, 10, 0.053748, 10, 0.056112, 10, 0.052678, 10, 0.043214, 10, 0.041270, 10, 0.040590, 10, 0.052864, 8, 0.084224, 
P Frame: 15, 9, 0.029028, 8, 0.091126, 9, 0.027375, 9, 0.026272, 8, 0.093698, 8, 0.031784, 9, 0.027007, 8, 0.104354, 10, 0.021312, 8, 0.030682, 8, 0.102150, 8, 0.033070, 8, 0.036010, 8, 0.032151, 8, 0.100496, 8, 0.100129, 10, 0.024251, 8, 0.089105, 
P Frame: 16, 8, 0.055619, 8, 0.031511, 8, 0.043280, 8, 0.066249, 8, 0.102316, 8, 0.074412, 8, 0.048975, 8, 0.038724, 7, 0.134586, 8, 0.051443, 8, 0.050304, 8, 0.025816, 8, 0.028474, 8, 0.105543, 8, 0.026386, 8, 0.028094, 8, 0.055239, 8, 0.033030, 
P Frame: 17, 5, 0.078685, 5, 0.074296, 5, 0.060914, 5, 0.085751, 7, 0.045927, 6, 0.056418, 6, 0.046890, 7, 0.044321, 8, 0.038219, 6, 0.059737, 5, 0.066160, 8, 0.041644, 7, 0.045498, 8, 0.042715, 8, 0.030832, 8, 0.033401, 6, 0.053635, 4, 0.094958, 
P Frame: 18, 8, 0.025299, 8, 0.034811, 8, 0.028874, 8, 0.024422, 5, 0.103758, 5, 0.114417, 8, 0.038116, 6, 0.072657, 5, 0.089118, 8, 0.032652, 8, 0.024287, 6, 0.083316, 8, 0.047494, 8, 0.059839, 8, 0.055927, 8, 0.035350, 6, 0.068745, 8, 0.060919, 
P Frame: 19, 6, 0.035633, 6, 0.044042, 6, 0.038198, 6, 0.036488, 8, 0.020382, 4, 0.108324, 6, 0.038769, 4, 0.078250, 4, 0.105616, 6, 0.036060, 6, 0.038341, 4, 0.086231, 6, 0.044327, 5, 0.063141, 5, 0.059863, 7, 0.032782, 5, 0.067845, 5, 0.065707, 
P Frame: 20, 8, 0.079333, 8, 0.093836, 8, 0.075963, 8, 0.052063, 8, 0.025432, 8, 0.077750, 8, 0.053774, 8, 0.056276, 8, 0.042105, 8, 0.063196, 8, 0.057655, 8, 0.050148, 8, 0.052318, 8, 0.035696, 9, 0.021423, 8, 0.030002, 8, 0.063681, 8, 0.069349, 
